City,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO 1st Max Value,CO 1st Max Hour,CO AQI
Athens,19.041667,49,19,46,0.04,10,34,9,21,13,2.2,23,25
Athens,22.958333,36,19,34,0.032,10,27,3,22,4,2.3,0,26
Athens,38.125,51,8,48,0.016,9,14,11,19,16,2.5,8,28
Athens,40.26087,74,8,72,0.033,9,28,16,8,23,3,23,34
Athens,48.45,61,22,58,0.012,9,10,15,7,21,3.7,2,42
Athens,39.95,73,8,71,0.025,10,21,17,7,24,3.6,9,41
Athens,29.625,43,9,41,0.024,10,20,21,7,30,3.5,23,40
Athens,29.666667,41,0,39,0.02,10,17,18,0,26,5.1,2,57
Athens,25.083333,37,20,35,0.022,10,19,13,19,19,2.8,2,32
Athens,37.666667,70,20,68,0.015,9,13,21,20,30,3.7,23,42
Athens,50.5,81,22,80,0.017,10,14,24,22,34,4.5,1,51
Athens,49.125,81,21,80,0.014,9,12,26,21,37,4.2,0,48
Athens,73.285714,117,22,104,0.01,9,8,21,22,30,4.6,23,52
Athens,66.541667,124,10,105,0.018,8,15,29,8,41,5.3,1,59
Athens,53.166667,87,22,86,0.022,9,19,22,20,31,4.5,23,51
Athens,45.75,73,19,71,0.023,9,19,13,19,19,4.8,0,54
Athens,59.25,101,23,101,0.015,8,13,19,23,27,3.9,23,44
Athens,66.791667,101,22,101,0.01,11,8,23,22,33,4.9,2,55
Athens,59.041667,87,20,86,0.013,9,11,22,20,31,4.9,1,55
Athens,48.357143,65,0,63,0.016,10,14,17,21,24,4.1,1,47
Athens,54.5,61,21,58,0.014,9,12,17,22,24,3.5,23,40
Athens,38.083333,64,21,62,0.02,10,17,14,21,20,3.8,0,43
Athens,37.958333,66,20,64,0.036,10,31,14,22,20,4,1,45
Phoenix,53.333333,77,21,76,0.023,10,19,18,21,26,3.3,1,38
Phoenix,42.583333,59,0,56,0.02,9,17,11,0,16,2.9,0,33
Phoenix,27.217391,42,0,40,0.035,10,30,7,1,10,1.4,0,16
Phoenix,53.333333,92,23,91,0.022,10,19,28,23,40,4.2,23,48
Phoenix,42.458333,67,0,65,0.039,10,33,16,0,23,5,1,56
Phoenix,37.875,64,0,62,0.043,10,36,12,1,17,3.6,2,41
Phoenix,50.208333,74,9,72,0.033,10,28,19,23,27,3.2,23,36
Phoenix,57.833333,89,9,88,0.019,9,16,24,9,34,4.2,2,48
Phoenix,41.086957,55,0,52,0.027,10,23,10,5,14,2,12,23
Phoenix,32.909091,48,21,45,0.033,10,28,7,21,10,1.7,2,19
Phoenix,37.208333,54,23,51,0.029,10,25,9,23,13,1.6,23,18
Phoenix,23.208333,48,0,45,0.04,13,34,6,0,9,2,1,23
Phoenix,26.708333,43,21,41,0.041,10,35,3,21,4,1,8,11
Phoenix,33.782609,51,22,48,0.031,10,26,13,23,19,1.9,23,22
Phoenix,40.625,69,21,67,0.029,10,25,22,21,31,2.9,23,33
Phoenix,49.958333,74,14,72,0.022,23,19,12,20,17,3.1,0,35
Phoenix,22.227273,51,23,48,0.044,10,37,8,0,11,2.4,0,27
Phoenix,38.958333,59,23,56,0.028,9,24,9,23,13,1.7,23,19
Phoenix,46.166667,73,22,71,0.025,10,21,23,22,33,3.4,23,39
Phoenix,28.291667,63,1,61,0.028,11,24,17,1,24,4.8,2,54
Phoenix,18.708333,39,23,37,0.031,11,26,2,7,3,0.5,0,6
Phoenix,31.416667,51,21,48,0.037,11,31,5,23,7,0.9,23,10
Phoenix,33.625,51,19,48,0.029,10,25,4,0,6,1.1,0,13
Phoenix,23.130435,49,23,46,0.042,11,36,5,23,7,1.1,0,13
Phoenix,35.583333,53,20,50,0.038,11,32,8,4,11,1.4,5,16
Phoenix,36.875,64,21,62,0.043,10,36,14,22,20,2.1,23,24
Phoenix,37.833333,68,21,66,0.046,10,39,16,0,23,3.5,2,40
Phoenix,20.304348,47,20,44,0.046,9,39,5,23,7,1.3,0,15
Ashland,36.583333,61,23,58,0.04,10,34,14,23,20,1.6,23,18
Ashland,33.869565,55,0,52,0.042,12,36,10,0,14,2.1,2,24
Ashland,38.666667,66,19,64,0.04,10,34,14,22,20,1.8,23,20
Ashland,35.916667,61,0,58,0.044,10,37,10,1,14,2.5,2,28
Ashland,26.958333,49,3,46,0.038,11,32,8,4,11,1.4,7,16
Ashland,18.583333,33,17,31,0.035,7,30,0,0,0,0.6,19,7
Ashland,27.416667,43,16,41,0.034,0,29,0,0,0,0.8,21,9
Ashland,24.083333,41,18,39,0.034,10,29,0,0,0,0.7,0,8
Ashland,27.583333,54,20,51,0.047,11,40,4,7,6,1,9,11
Ashland,31.541667,54,22,51,0.042,11,36,0.6,0,0,1.7,7,19
Ashland,37.136364,60,21,57,0.04,11,34,0.9,20,0,2.1,4,24
Ashland,41.583333,73,20,71,0.054,11,46,0.8,0,0,3.1,4,35
Ashland,38.208333,70,1,68,0.053,10,45,0.6,7,0,3.4,3,39
Ashland,39.652174,67,21,65,0.051,11,43,1.8,23,1,1.9,0,22
Ashland,44.25,67,21,65,0.049,11,42,1.5,21,1,2.1,2,24
Ashland,40.652174,64,0,62,0.051,11,43,1.6,0,1,2.1,2,24
Ashland,36.416667,63,22,61,0.049,11,42,0.2,7,0,1.4,1,16
Ashland,33.875,58,10,55,0.051,12,43,0.4,22,0,1.8,2,20
Ashland,31.125,58,20,55,0.05,11,42,0.9,21,0,1.1,8,13
Ashland,26.875,66,20,64,0.059,10,50,0.9,20,0,1.5,23,17
Ashland,22.416667,53,7,50,0.044,9,37,1.4,0,1,1.7,0,19
Ashland,24.434783,50,20,47,0.041,10,35,0.7,7,0,0.6,21,7
Ashland,33.291667,59,22,56,0.045,11,38,0.9,5,0,1,10,11
Ashland,38.541667,65,20,63,0.048,11,41,0.8,0,0,1.4,23,16
