Market,Data Request Type
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Texas,CB-U-VERSE
Missouri,CB-WIRELINE
Indiana,Unified (Uverse + Wireless + DTV)
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Texas,CB-U-VERSE
Missouri,CB-WIRELINE
Indiana,Unified (Uverse + Wireless + DTV)
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Texas,CB-U-VERSE
Missouri,CB-WIRELINE
Indiana,Unified (Uverse + Wireless + DTV)
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Texas,CB-U-VERSE
Missouri,CB-WIRELINE
Indiana,Unified (Uverse + Wireless + DTV)
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Texas,CB-U-VERSE
Missouri,CB-WIRELINE
Indiana,Unified (Uverse + Wireless + DTV)
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Texas,CB-U-VERSE
Missouri,CB-WIRELINE
Indiana,Unified (Uverse + Wireless + DTV)
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Texas,CB-U-VERSE
Missouri,CB-WIRELINE
Indiana,Unified (Uverse + Wireless + DTV)
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
Newyork,WIRELESS
